# Revert receipts for #187, HEAD fb6e9e5, 2026-09-21T03:43:15
# row | mutant | suite | tests/failures/errors with the mutant | verdict

theOwnerSubscribesToThePictureAndNeverPollsIt | app/src/main/java/com/envi/wispr/ui/DictationSessionCoordinator.kt: '        runCatching {\n            pipeline.capture?.listenFo' -> '        run {\n            pipeline.capture?.listen' | com.envi.wispr.audio.LiveAudioMeterWiringTest | 15/1/0 at 2026-09-21T07:43:25 | RED
theOwnerUnsubscribesWhereEverySessionEnds | app/src/main/java/com/envi/wispr/ui/DictationSessionCoordinator.kt: '                runCatching { pipeline.capture?.stopListenin' -> '                pipeline.unbind()' | com.envi.wispr.audio.LiveAudioMeterWiringTest | 15/1/0 at 2026-09-21T07:43:35 | RED
nothingInProductionReadsThePicture | app/src/main/java/com/envi/wispr/ui/PipelineBindings.kt: '        override fun stopListeningForSpectrum() {\n          ' -> '        fun peek(): FloatArray = service.spectrumB' | com.envi.wispr.audio.LiveAudioMeterWiringTest | 15/1/0 at 2026-09-21T07:43:46 | RED
theProxyRegistersAndUnregistersTheSameStub | app/src/main/java/com/envi/wispr/ui/PipelineBindings.kt: '            spectrumStub = null\n            service.unregist' -> '            spectrumStub = null\n            servic' | com.envi.wispr.audio.LiveAudioMeterWiringTest | 15/1/0 at 2026-09-21T07:43:56 | RED
theAnalyserPushesOutsideTheLockAndNeverFromCapture | app/src/main/java/com/envi/wispr/audio/AudioCaptureService.kt: '                        System.arraycopy(bands, 0, active.pu' -> '                        System.arraycopy(bands, 0,' | com.envi.wispr.audio.LiveAudioMeterWiringTest | 15/1/0 at 2026-09-21T07:44:06 | RED
theListenerIsOnewayAndTheRegistrationIsAppendedLast | app/src/main/aidl/com/envi/wispr/audio/IAudioSpectrumListener.aidl: '    oneway void onSpectrum(in float[] bands);' -> '    void onSpectrum(in float[] bands);' | com.envi.wispr.audio.LiveAudioMeterWiringTest | 15/1/0 at 2026-09-21T07:44:16 | RED
theServiceClearsOnlyTheObservedListener | app/src/main/java/com/envi/wispr/audio/AudioCaptureService.kt: '            if (spectrumListener.compareAndSet(listener, nul' -> '            spectrumListener.set(null)\n           ' | com.envi.wispr.audio.LiveAudioMeterWiringTest | 15/1/0 at 2026-09-21T07:44:27 | RED
theCountersAndTheTakeEndLineAreWired | app/src/main/java/com/envi/wispr/audio/AudioCaptureService.kt: '            active.spectrumPolls.incrementAndGet()\n         ' -> '            return synchronized' | com.envi.wispr.audio.LiveAudioMeterWiringTest | 15/1/0 at 2026-09-21T07:44:39 | RED
startCaptureIsStillTheFirstTransactionAndNothingWasReordered | app/src/main/aidl/com/envi/wispr/audio/IAudioCaptureService.aidl: '    void registerSpectrumListener(IAudioSpectrumListener lis' -> '    void unregisterSpectrumListener(IAudioSpectrum' | com.envi.wispr.audio.SilenceStopWiringTest | 18/1/0 at 2026-09-21T07:44:50 | RED
theOwnerRegistersForThePictureWhenTheTakeGoesLiveAndUnregistersWhenItEnds | app/src/main/java/com/envi/wispr/ui/DictationSessionCoordinator.kt: '        }, "DictationPollingThread").start()\n        listenF' -> '        }, "DictationPollingThread").start()\n    }' | com.envi.wispr.ui.DictationSessionCoordinatorTest | 24/1/0 at 2026-09-21T07:45:00 | RED

# Restored: git status --short is empty after every mutant.
